Title	Description
Synth	Synth, or also known as Synthetic, is a general Imperial term for any food or material that is synthetically created by the Imperium. It has been noted that Synth fabric has a shininess to it, that real fabric lacks.[2a]
Manhunter	Bounty Hunters, also called Manhunters, are Imperial or Xenos citizens who are licensed by their worlds to capture or kill fugitives, criminals and creatures for a bounty.[1b] Some Imperial worlds are known to even allow mutants, abhumans and xenos to serve as bounty hunters as well.[3a] On the hive world Necromunda in the Segmentum Solar, bounty hunters are amongst the toughest and most dangerous of all Underhivers and are drawn from a wide range of backgrounds. They tend to be loners who neither need nor want to be associated with a gang, though some are erstwhile gangers and might still bear some of the distinctive trappings of their former Clan House. Many Abhumans on Necronmunda also find the life of a bounty hunter suits them well, for the Blood Warrant that serves as their license and writ allows them to go where others of their kind might ordinarily be barred. Thus, it is not uncommon to see Beastmen, Squats and other stable Abhuman strains operating as bounty hunters far from those areas on Necronmunda that are set aside for their kind.[1b] The Merchants Guild also has their own private order of bounty hunters, known as Adurators, who are granted special privileges and are equipped with the best weaponry and equipment the Guild has to offer. While they normally work on Guild bounties, it is not unusual for an Adurator to also collect bounties in the Underhive, where they can more easily throw their Guild authority around.[1c] The majority of official bounties on Necronmunda are displayed at Trading Posts in the Underhive, and offer rewards to anyone who brings in outlaw leaders, gangs, mutants and other criminal types. The rewards offered are good, but the job is a perilous one and many bounty hunters die out in the wastes, slain by the outlaws and mutants they set out to hunt.[1b]
Magna-rail	Magna-rails are a type of Rail Weapon used by the Leagues of Votann, which fire lethal projectiles at incredible speeds through the application of linear accelerators. Their high velocity rounds are capable of puncturing heavy armor, force fields, psychic barriers, and heavy chitin alike.
Plasteel	Plasteel is a type of versatile metal alloy, an advanced material used by the Imperium in the construction of many forms of armour, both personal and vehicular, and in the construction of buildings. Among the strongest and most expensive, this highly durable and very lightweight material can be formed into a variety of shapes and textures. Plasteel, like Adamantium, Armourplas and Synth-leather, is far more resilient than its archaic counterparts like steel. Antiquated armours made from these archaic materials are unable to resist advanced weaponry and are only used by primitive cultures. Only when fashioned from Plasteel and Armourplas can these archaic armours be effective on the battlefield, sometimes even equalling modern armours in protective qualities. Plasteel is used for all sorts of purposes by the Imperium. For example, heavy-gauge plasteel is used in conjunction with ceramite to form the armour plating of Terminator Armour. Plasteel scattered around Hive Tertium during the Moebian Sixth uprising
Noble	Noble Houses are Imperial families that have been officially recognized as Nobles, by their world's ruling Imperial House, by being given a writ of nobility.[1a] This also includes the Nobles of Knight Houses. The most powerful and influential noble houses in the Moebian Domain are Houses Margrave, Barquette, Consora, and Van Sparzi. On Necromunda, the ruling House Helm'ayr originally ratified the creation of Hive Primus' first Noble Houses in M35 and many of the world's Hives then followed their example[1a]. Since their creation, many new Houses have been created, while others have met their end, by losing their status [1b], or being destroyed [1c]. While they may fight each other, all of Necromunda's Noble and Clan Houses have signed the Oath Nobilies, vowing to never break the world's Pax Imperium with open warfare.[1d]
Rockcrete	Rockcrete is a type of building material used by the Imperium which is cheap and easy to produce. Native stone is ground up and mixed with binding agents to create thick, heavy slabs used in the construction of walls and flooring.
Sanctioned Psyker	Sanctioned Psykers are psykers trained by the Adeptus Astra Telepathica and assigned to serve within the Imperial Guard. They are able to use their psychic abilities to aid the commander in his decisions by predicting or sensing enemy movements, or more directly in combat, psychically attacking the enemy or protecting allies. Commissars are always ready to execute a psyker in danger of Daemonic possession. Throughout the Imperium, psykers are justifiably feared for the danger they present, and held in a regard comparable to that of aliens and mutants. Certain slang has grown up between psykers and non-psykers. Freak, Brain, Witch, Spark Head and Bolt Magnet are all terms for a sanctioned psyker, whereas Blunt is what a non-psyker is to a psyker.[Needs Citation] Fellow psykers will often refer to eachother as Sibling due to the harrowing experiences that is their training on the Black Ships to become sanctioned. Sanctioned Psykers are most often divided into Psyker Battle Squads, consisting of groups of individuals who are barely able to control their awesome power. Ever-vigilant overseer Psykers accompany these more amateurish squad members into battle, helping them attune to each other so that the squad functions as a cohesive psychic unit. Whilst one psyker may start a sentence another shall finish it, several members of the unit chorusing and echoing the words in unison. In battle, they pool their energies to release a psychic blast far greater then the sum of their individual parts. The sonorous chanting of a Psyker battle squad continuously rises as they draw ever deeper into the powers of the Warp, eventually releasing a surge of psychic energy that can create deadly thunderstorms to engulf the psykers foe or send out energy that ruptures organs or rips bodies apart.
Frag grenade	Frag grenades (or fragmentation grenades) are small, anti-personnel grenades, exploding in a hail of thousands of tiny and deadly shards of metal, the effect being to deny an enemy the benefits of any cover as they are assaulted. Frag grenades are very simple in design and effect, consisting of a central explosive core with a fuse inserted and secured by a pin, wrapped in a steel casing. Upon detonation, irregular shards of the casing are propelled at high velocity into the nearby surrounding area. The casing is typically grooved, both to create more shrapnel upon detonation and to provide a secure grip. A single frag grenade weighs about 1 kilogram and has a blast radius between 3 meters and 5 meters .
Vox	This article contains text passages or images with citation issues. The concerned content is marked with "Citation issue" tags. Please help to improve this article by fixing those issues as described in the corresponding Help article. Do also note that it is absolutely forbidden to add new information or content to these marked passages as long as the pre-existing citation issues have not been completely resolved. A Vox-caster, Vox-set,[2b] Comm-link[2a] or Communicator is a sophisticated and reliable piece of Imperial technology used by the Imperial Guard to communicate orders over long distances[2a] via audio or audio-visual pickups. It ties into the strategic command and tactical command net via tight beam transmitters and signal decoders. The appearance and size of a Vox-caster is based on its origin point[2a] and can vary from a separate handheld instrument to a helmet-unit, a wrist strap or a longer-ranged backpack unit. It can also be vehicle-mounted, where it can be upgraded to Improved Comms.. The Vox-caster operates on an oscillating frequency to prevent detection and is heavily shielded to prevent electromagnetic interferences. Even if the transmission is intercepted, a successful deciphering of the message is considered unlikely without dedicated complex deciphering equipment. For this reason, Vox-casters can have closed channels, only receivable by another unit that has the pre-approved deciphering code.
Krak grenade	Krak grenades are anti-tank weapons - the opposite of the anti-personnel frag grenade - designed to "crack" open armoured targets such as vehicles through a concentrated implosive blast. However, the krak grenade must be placed more carefully on the target than frag grenades, because their explosive radius is only half that of a frag grenade. This class of grenade encompass a wide variety of shaped charges, Plasma detonators, and crude bombs, all intended to disable armoured vehicles. Krak grenades are commonly used by the Imperial Guard, Sisters of Battle, loyal Space Marines, and Chaos Space Marines.
Hololith	Hololithic Projectors, or just Holo-Projectors,[2b] are Imperial devices, that display holo images, recordings, or live holo-casts[9a] sometimes called hololiths. Hololithic images are used for a variety of purposes involving 3D displays in communication,[9a] strategic planning, and decoration. Hololith banners[9b] and holo-statues might be used as decoration and display. A cartolith is a hololith map[9c] or 3D display of a map, as used in Space Marine visor displays.[9d] A hololith operates on a blend of material-immaterial technology, allowing for medium range communications on a speed faster than light. Hence, hololiths lack the communications lag inherent to regular, light-speed bound electromagnetic technology. Still, the range of hololithic technology is limited to a solar system, any communications further out need to use astrotelepathy.
Historitor	The Historical Revision Unit is a department of the Administratum, whose main employees are the servants known as Historitors who work within the Imperial Palace. Their job is to revise subversive records of history to a more reverent version. These Imperial scholars who chronicle, catalogue and espouse sanctioned history. The Historical Revision Unit also operates during significant events like the 13th Black Crusade, disseminating news of Imperial battlefield successes to frontline guardsmen alongside the Commission for Moral Truth. Historicus is the title of the unit's head.
Auspex	Scanners (or multi-scanners, or Auspexes) are Imperial short-ranged devices used to detect motion, invisible gases and energy emissions throughout a wide spectrum, such as heat, radiation and most forms of energy given off by vehicles and living troops. Their main tactical use is to reveal otherwise hidden troops and allow them to be fired on. The standard range of a handheld scanner is fifty, five hundred, or fifteen hundred metres, although walls more than fifty centimetres thick as well as certain shielding materials are able to block them. Longer-range, bulky, auspexes have, depending on craftmanship, a range of five or ten kilometres and can penetrate walls up to a metre thick.[6a] Ground vehicle-mounted auspexes can have a range of fifty kilometres.[6b] Aircraft-mounted auspexes can have a range of a hundred kilometres. Auspexes mounted on spaceships can easily scan the orbit and surface of a planet from the edge of a system at the Mandeville point, the collected data visually represented with the help of a hololithic projector[10a] or pict screens,[10b] after being processed by cogitators and mono-task servitors.[10a]
Groundcar	Groundcar is an Imperial term, used typically for any four wheeled vehicles created by the Imperium, for military or civilian usage.[1a] The slang term wheeler usually refers to a groundcar but can refer to any vehicle.
Galaxy	The Milky Way Galaxy is the realm in which Warhammer 40,000 takes place. It is a vast spiral galaxy, ninety-thousand light years across and fifteen-thousand light years thick, containing roughly four hundred billion stars.[12a] Billions of years old, the earliest known sentient race in the galaxy were the Old Ones. Mastering advanced technologies derived from the Warp and creating the Webway, they soon established an empire across the whole galaxy. They believed that all life was useful and they are known to had brought about the rise of numerous new species, such as humanity, as well as impregnated thousands of worlds which they made their own.[7b] The Old Ones soon came into contact with vampire incorporeal beings which fed on the energy of stars known as C'tan. The Old Ones battled the C'tan, forcing them into hiding. At some point, the Old Ones came into conflict with the Necrontyr, a race of highly advanced but short-lived beings. The two civilizations eventually clashed in a massive galaxy-spanning conflict known as the War in Heaven which the Old Ones were winning until the Necrontyr turned to the C'tan in desperation, converting themselves into the mechanical Necrons. This time, the conflict was far different from the previous wars as the Old Ones mastery of the Warp was now countered by the C'tan's supremacy of the material universe. In time, the C'tan began to dominate the galaxy whilst the Old Ones bastions were besieged and their nurtured races being fed upon like cattle by the eternal hunger of the star-gods. Entire worlds were razed, suns extinguished and entire star systems devoured whole by the terrible C'tan. In desperation the Old Ones sired new races to fight the Necrons and C'tan such as the Eldar and Orks.[7b] However this still did not prove enough and slowly the Old Ones were broken, scattered, and finally annihilated by the Necrons and C'tan. In the power vacuum following the war, the lesser creations of the Old Ones such as Mankind were known to had continued to develop but in unforseen ways.[7a] The mantle of galactic dominion would eventually pass to the Eldar who had fought alongside the Old Ones during the war. Exhausted from the War in Heaven, the Necrons departed into the Great Sleep on their Tomb Worlds in order to rebuild their strength and take control of the galaxy once more. Shortly before the Great Sleep the Necron Silent King, Szarekh, engineered a betrayal of the C'tan. The star-gods were shattered and enslaved by the Necrons and Szarekh went into self-imposed exile outside of the Galaxy.
Salvatorium	Salvatorium is the Imperial term for a salvage yard.
Medicae	I pray to slow the blood and staunch the wound. Chiurgeons (also spelled Chirurgeons) are medical and anatomical specialists of the Inquisition, Imperial Guard, Orders Hospitaller, and Officio Medicae. Often serving in the retinues of Inquisitors, these servants specialize not only in the art of healing but also the art of repentance, interrogation, and the yielding of information through torture. Knowing the intricacies of human anatomy, they know the exact amount of punishment they can inflict on their subjects before it expires. They can inflict the maximum amount of pain for the least amount of effort, and then nurse their subject's shattered body back to health in order to begin the process again.
Ogryn	Brute force not work? It because you not use enough of it! Ogryns (Homo sapiens gigantus) are the largest and most physically powerful type of abhuman.[4a] They make ideal warriors and are often recruited into Imperial Guard regiments to be used as close assault shock troops. Ogryns evolved on worlds with harsh and barren environments and high gravity. Most of these worlds, having no other use to humanity, were originally used as prison planets. Ogryns are large and bulky, standing between 2½ and 3 metres tall. The appearance of Ogryns varies according to their world of origin, but all are tough and powerful. Some forms are well-muscled, while others tend more toward grotesque obesity. Stupid and repulsively unhygienic, Ogryns have earned such names as Fats, Flabs, Slobs and Stenches. Ogryn populations produce mutant individuals to the same extent as humans.[4a] There are vat-grown strains of Ogryn;[35c] not an entirely dissimilar process to that of vat-grown base-line humans.[Needs Citation]
Augmetic	Bionics, or also Augmetics, are Imperial mechanical or technological substitutes for biological limbs or organs. Generally the replacement is stronger, more durable, or more effective than the original, or gives its user completely new abilities. The use of bionics is widespread in the Imperium. However, bionics are expensive and mostly limited to valuable servants of the Imperium, such as veteran warriors or skilled adepts, high-ranking Imperial officials and Inquisitors, as well as Planetary Governors who possess the required wealth. An individual may have artificial limbs and organs to replace diseased or damaged parts, or simply to improve their abilities. Bionics include partial and full replacements of body parts, brain implants, cybernetic weaponry and other devices. Although bionic parts are mechanical, many of them do use the user's bloodstream, nerve endings, etc., so damage to one may be as debilitating as an injury to the original part, although in general the bionics are much more durable than their organic counterparts.[Needs Citation]
Fabricator	A fabricator is general term for a craftsperson.
Juvenat	Juvenat[1a], rarely named Juvenatus[1b] or Rejuvenat[1c] - any of a number of anti-ageing treatment used by the Imperium for the extension of human life, maintained primarily through the use of juvenat-drugs but supplemented with augmetic surgery to maintain the youthful look.[1a] Among the wealthy of the Imperial society it extends the lifespan to the point when being just shy of two centuries old is considered an early middle-age, making it hard to distinguish a difference in human appearance in a range between 40 and 400. The treatment is known to be able to replenish the entirety of a damaged body, for example if utterly annihilated in an accident, provided at least the brain stayed intact. Although it is noted that the recovery from such a state takes something between 2 and 3 Terran years (9 Fenrisian months). Among the cheapest and more widely available treatments, there are known practices of: plumping flesh with collagenics; filling creases and wrinkles with dermics, cleaning of eyes and organs, applying a skinweave that pins up the skin folds, resculpting of bones or permanent staining of a skin a tanned colour with nanotic pigments considered in the Imperium as presenting as a mark of health. Multiple treatments on low budget can leave visible deviance from a natural youth, with overly tight flesh and skin too smooth and too monotone.
Thrillboy	A Thrillboy is a term in Imperial Culture for a man who sells his body for money; a prostitute. Thrillboys are often employed in Joy Houses.
Armaweave	High-grade flak-fabric, usually woven into tasteful garments.
Abhuman	Abhumans are human subspecies - descendants of humans who have physically evolved after long periods of isolation on worlds with various extreme environmental conditions.[Needs Citation] The Imperium recognizes 73 stable abhuman strains, of which 46 types are now listed as extinct, with a further 12 suggesting they too have died out or been assimilated into the greater population. The status of the remaining 15 strains is an issue of constant debate within the Administratum's Tithes Chamber Notaries, sub. Planetary Census (Abhumans), the administrative body that deals with Abhuman affairs.[3b] In an Imperium where genetic mutation and spiritual corruption are often interrelated, abhumans are a focus of much controversy. In more liberal times under the Emperor, even markedly divergent abhumans such as the Beastmen could serve in the Imperial Guard and Militarum Auxilla. Since the Emperor's stasis however, only the lesser deviants, such as Ogryns and Ratlings, are considered Imperial citizens. However, they are still distrusted by the more puritan members of the Inquisition.[Needs Citation]
Obscura	Obscura is a widely used, albeit prohibited, narcotic in the Imperium. It produces a pleasant dream-like state which lasts a few hours, but then turns into a deep depression once it wears off unless another dose is taken. It is highly addictive and has been known to be smoked and injected directly into the bloodstream. It is found amongst all classes of civilians and military personal in the Imperium and many smugglers make a good living by importing and selling the illegal substance. It is found amongst the middle- and upper-class citizens of the Imperium, and is used frequently by the followers of Slaanesh in ritualistic activities. Obscura-den's are fairly common in heavily populated areas within Hives, and are notorious for being a frequented area by the less-desirables found in every hive.
Digital weapon	Digital weapons, or digi-weapons, are miniaturised weapons, often concealed in rings or other jewellery. Though miniaturised, they are capable of replicating the punch of full-sized weapons such as laspistols, hellpistols, needle pistols, hand flamers, and Inferno pistols. Though digital weapon can be fired while holding something else in one's hands, the weapon can only be fired once and reloading is extremely difficult. The technology required to manufacture digi-weapons is beyond the capabilities of the Imperium. Digi-weapons can only be created by the Jokaero species. Accordingly, they are very rare and almost impossible to buy. Their possession is normally restricted to the extremely wealthy or influential; they are more commonly used by Inquisitors.
Categories	Key - C=Characters, B=Battles, Tr=Troops, V=Vehicles, F=Fleet, Te=Technology, E=Equipment, W=Weapons, I=Images (C/B/Tr/V/F/Te/E/W/I) ______________________________________ ______________________________________
Imperial Terms	A list of commonly used terms in the Imperium. Note that these terms are common but not always universal. Names for similar things can vary depending on their diverse local cultures, whether it be across a hive city district or across the galaxy. companion.
Food and Drink of the Imperium	The Imperium is a massive empire spanning the galaxy and as such its numerous subjects make use of all manner of fauna and flora for foodstuffs. As well as food, Imperial worlds produce a variety of drinks. Within the Imperium, entire worlds are devoted to agriculture and food, providing the necessary sustenance for populations elsewhere in the galaxy. These agri worlds can grow a variety of food in a variety of ways, from the ill-tempered grox that provide meat to simple wheat for bread, with entire continents being given over to the growth of foodstuffs.[Needs Citation] The most standard type of food grown on Agri-Worlds and subsequently distributed to feed the innumerable masses is processed corn. This variety can produce confusion when Imperial cultures mix; in one recorded instance, Tona Criid, a native of Vervunhive on Verghast, mistook camouflage paint for a type of food-paste supplied to the off-world Tanith First regiment.[1b]
Sefoni	Sefoni is a rare and formidable psyker in service to Inquisitor Grendyl. She has served the Inquisitor for a number of years and might know more secrets than even the Inquisitor's most trusted Interrogators. Sefoni is currently assisting the Inquisitor's warband aboard the Mourningstar via clairvoyant scrying of the going-ons within Hive Tertium and training the forces requisitioned by the Inquisition in the Psykhanium.[1b] The Rogue Trader, Shipmistress Brahms has even requested that Sefoni offer her training services in the Psykhanium to her voidsmen crew.[1a] Sefoni is able to speak to individuals directly via telepathy. She is also able to alter the memories and even personalities of individuals, whether willing or not.[1c][1d] The Barber-Chirurgeon of the warband, Oska Krall, even works with her to offer a personality scourge service aboard the Mourningstar, a service that can potentially rewrite an individual's recollection of their entire life's history. Sefoni affectionately refers to Oska as a creative genius and this service they offer as an artistic collaboration.[1d] This procedure requires the use of valuable prismata crystals. Although it isn't explicitly authorised by the Inquisitor, Interrogator Rannick allows it to continue since it might allow for a back door into the minds of their warband's rabble.[1a]
Cogitator	Cogitator is the Imperial term for computers[1a], and they are sometimes referred to as Cogitator Banks or Data-engines.[1b] Produced by the Adeptus Mechanicus, it is said that Cogitators have a highly intelligent Machine Spirit but it does not approach that of true Artificial Intelligence.[1a] They are mostly large and largely mechanical, though can also include organic components. Cogitators are incorporated into buildings or spaceships, but smaller, portable examples do exist. These smaller ones are used by the Inquisition to hold and process information while on the move. Miniaturised Cogitators can even be wrist-mounted. Most Cogitators use datacore technology, having replaced obsolete digital technology after its rediscovery.[1b] The inside of a cogitator incorporates crystalline circuitry. Cogitators can be become glitchy or even possessed by malign spirits if proper rites and rituals are not conducted properly. Emplaced Cogitators process vast quantities of data and can output through Auto Quill printout or Holo-Projection while portable units can interface with Data-slates or similar sources. Data crystals can be inserted into a cogitator's download port to download data to be taken elsewhere.
Dataslate	Data-slates are devices that are commonplace in the Imperium, and serve as the primary means of storing and reading printed text and other media such as video or audio recordings. They are so cheap and easy to make that many contain a single media recording, such as text or an image, and can only play that single file. Others can re-record new information, and transmit and receive data from other devices. Files can be encrypted to prevent unauthorised access. Data-slates can incorporate a hololithic display, allowing for three-dimensional data projection, and a compass capable of recording and storing precise location data.
Glow-Globe	Glow-Globes are Imperial devices used to provide light. They provide light in various colours such as yellow, orange, and red. They can be set behind grilles in ceilings, in chandeliers, or at bedsides, but can also be carried, or hover, and be coded to people's bio-trace to follow their voice commands. Portable glow-globes are rechargeable.
Scholum	Scholum is the Imperial term for a school. Small children in the Imperium are sometimes fortunate enough to go to a scholum in their youth, often finding dull predictability of it boring. This is common for children on Ultramarian worlds.
Augmeticist	"Your body of flesh is utilitarian, crudely functional. But a body like mine, of plastic, wire, and steel, is a wonder of efficiency and grace. It makes me something more than human. I am a work of living art!" - Lady Sephia Trell, Lord Captain of the Axiom Imperial An augmeticist is a provider of cyber-augmetic implants. An augmeticist can also refer to an individual who seeks out mechanical upgrades, not out of devotion to the Omnissiah or necessity like an injured Imperial Guard veteran, but in pursuit of physical perfection and artistic expression. These individuals are often times Nobility who wish to flaunt their wealth and status through various cybernetic upgrades.
Krak missile	The Imperium operates a variety of Missile Launchers and Rocket Launchers. The standard Locke-pattern Imperial missile launcher has a built in targeting device and is fired from the shoulder. It is a single round weapon and cannot be fired on the move. Standard Imperial Guard doctrine is for one man to carry aim and fire the missile launcher, whilst a second man carries the ammunition and re-loads the weapons. A well-drilled fire team can maintain a formidable rate of fire, enough to daunt the bravest of tank commanders. Amongst the Imperial Guard, missile launchers are crew-served weapons, while Space Marines are strong enough to use and reload missile launchers alone. Astartes Missile Launcher (Soundstrike-Pattern)
Enforcer (Security Force)	Enforcers are an Imperial Planetary Governor's heavily armed security forces, which are charged with maintaining law and order on their homeworld. They will rarely act in the pursuit of justice, though, and are far more often an extension of their Governor's will. In order to keep the Imperium's grip on a world secure, Enforcers will discipline, capture and execute those who go against the Governor's proclamations, using a heavy hand to crush any rebellions or seditious elements they learn of. They are distinct and separate from the forces of the Adeptus Arbites, however, who are concerned with any violations of the Lex Imperialis. Enforcers, meanwhile, only have as much authority as they are granted by their Planetary Governor. The Adeptus Mechanicus has its own version of Enforcers, known as the Astynomia.
